#
#   VizieR Astronomical Server: vizier.cfa.harvard.edu	2009-03-17T02:04:37
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx26924	
#INFO	-out.max=50000	

#RESOURCE=yCat_16490759
#Name: J/ApJ/649/759
#Title: The bubbling galactic disk (Churchwell+, 2006)
#Coosys	G:	galactic
#Table	J_ApJ_649_759_bubbles:
#Name: J/ApJ/649/759/bubbles
#Title: Bubble parameters {\em(tables 2 and 3 of paper)}
#Column	_RAJ2000	(F7.3)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(F7.3)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	[CPA2006]	(A4)	Catalog number (Nnnn or Snnn)	[ucd=meta.id;meta.main]
#Column	GLON	(F7.3)	Galactic longitude of bubble center	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.3)	Galactic latitude of bubble center	[ucd=pos.galactic.lat]
#Column	Rin	(F5.2)	Semimajor axis of inner ellipse	[ucd=phys.angSize;src]
#Column	rin	(F5.2)	Semiminor axis of inner ellipse	[ucd=phys.angSize.sminAxis]
#Column	Rout	(F5.2)	Semimajor axis of outer ellipse	[ucd=phys.angSize;src]
#Column	rout	(F5.2)	Semiminor axis of outer ellipse	[ucd=phys.angSize.sminAxis]
#Column	Ecc	(F5.2)	Eccentricity of the ellipse (1)	[ucd=src.orbital.eccentricity]
#Column	<R>	(F5.2)	Average radius of bubble	[ucd=phys.angSize;stat.mean]
#Column	<T>	(F5.2)	Average thickness of bubble	[ucd=src.morph.param]
#Column	MFlags	(a12)	Morphology flags (2)	[ucd=src.morph.param]
_RAJ2000;_DEJ2000;[CPA2006];GLON;GLAT;Rin;rin;Rout;rout;Ecc;<R>;<T>;MFlags
285.637;+05.104;N73 ;038.739;-0.137; 0.77; 0.72; 1.15; 1.08; 0.34; 0.93; 0.37;B
285.983;+05.117;N74 ;038.909;-0.437; 1.27; 1.02; 1.79; 1.44; 0.59; 1.37; 0.47;C,CC
285.947;+05.157;N75 ;038.928;-0.387; 0.62; 0.51; 0.93; 0.77; 0.57; 0.70; 0.29;B
286.266;+05.023;N76 ;038.955;-0.731; 3.73; 2.84; 5.27; 4.02; 0.65; 3.93; 1.34;B
286.340;+06.636;N77 ;040.421;-0.056; 1.16; 1.10; 1.49; 1.41; 0.33; 1.29; 0.32;B
286.512;+07.457;N78 ;041.229;+0.170; 0.31; 0.23; 0.45; 0.33; 0.68; 0.33; 0.12;C
286.769;+07.646;N79 ;041.514;+0.030; 1.27; 0.98; 1.60; 1.23; 0.64; 1.26; 0.29;C
286.962;+08.016;N80 ;041.930;+0.031; 1.90; 1.38; 2.38; 1.73; 0.69; 1.82; 0.41;C
287.482;+07.830;N81 ;042.003;-0.512; 9.24; 6.57;11.98; 8.52; 0.70; 8.95; 2.31;C,MB
287.628;+07.867;N82 ;042.102;-0.623; 1.47; 1.46; 1.91; 1.90; 0.13; 1.68; 0.44;C,CC,m(N81)
287.471;+07.960;N83 ;042.113;-0.442; 0.31; 0.24; 0.44; 0.33; 0.65; 0.33; 0.11;C,m(N81)
287.554;+08.727;N84 ;042.831;-0.161; 1.19; 0.86; 1.54; 1.12; 0.69; 1.16; 0.30;C
287.538;+09.009;N85 ;043.074;-0.017; 0.46; 0.38; 0.59; 0.49; 0.57; 0.48; 0.12;C
287.569;+09.018;N86 ;043.097;-0.040; 0.26; 0.23; 0.43; 0.38; 0.46; 0.32; 0.17;B
287.494;+09.194;N87 ;043.218;+0.107; 0.31; 0.24; 0.45; 0.36; 0.61; 0.34; 0.12;C
287.779;+09.100;N88 ;043.265;-0.186; 1.37; 1.30; 1.90; 1.81; 0.30; 1.59; 0.52;SNR
287.732;+09.659;N89 ;043.739;+0.114; 0.92; 0.81; 1.24; 1.10; 0.47; 1.02; 0.31;C
287.797;+09.665;N90 ;043.774;+0.059; 1.53; 1.52; 1.96; 1.94; 0.13; 1.74; 0.42;C
288.011;+10.048;N91 ;044.211;+0.050; 5.19; 3.47; 7.25; 4.84; 0.74; 5.08; 1.68;C
288.868;+09.743;N92 ;044.333;-0.839; 2.03; 1.38; 2.67; 1.81; 0.73; 1.94; 0.53;C,CC
288.818;+10.271;N93 ;044.777;-0.550; 0.73; 0.53; 1.00; 0.73; 0.68; 0.74; 0.23;C,m(N94)
288.792;+10.330;N94 ;044.818;-0.500; 3.85; 2.60; 5.26; 3.56; 0.74; 3.75; 1.16;B,MB
289.260;+10.738;N95 ;045.393;-0.717; 2.13; 1.70; 2.39; 1.91; 0.60; 2.02; 0.23;C
289.019;+12.619;N96 ;046.947;+0.368; 0.40; 0.33; 0.53; 0.43; 0.59; 0.42; 0.12;B,MB
289.072;+12.596;N97 ;046.951;+0.312; 4.23; 3.13; 5.59; 4.14; 0.67; 4.23; 1.17;B,m(N96)
289.193;+12.620;N98 ;047.027;+0.219; 1.37; 1.36; 1.75; 1.74; 0.11; 1.56; 0.38;C
289.693;+14.074;N99 ;048.540;+0.468; 4.20; 3.23; 5.74; 4.41; 0.64; 4.36; 1.35;B
290.761;+13.840;N100;048.821;-0.557; 4.85; 3.78; 6.23; 4.86; 0.63; 4.89; 1.22;C
290.763;+14.265;N101;049.197;-0.358; 0.99; 0.85; 1.53; 1.31; 0.52; 1.17; 0.50;B
290.829;+14.800;N102;049.698;-0.162; 1.82; 1.81; 2.20; 2.18; 0.12; 2.00; 0.38;C,MB
290.837;+14.801;N103;049.703;-0.168; 0.63; 0.49; 0.87; 0.68; 0.63; 0.67; 0.21;B,m(N102)
291.098;+15.049;N104;050.041;-0.273; 0.77; 0.59; 1.09; 0.84; 0.64; 0.81; 0.29;C
290.347;+15.479;N105;050.077;+0.569; 0.87; 0.57; 1.19; 0.79; 0.75; 0.84; 0.26;C
291.061;+15.914;N106;050.785;+0.168; 0.39; 0.30; 0.56; 0.43; 0.65; 0.41; 0.15;C,m(N107)
291.235;+16.036;N107;050.972;+0.078;11.59; 9.08;14.14;11.08; 0.62;11.39; 2.26;B,MB
291.267;+16.921;N108;051.766;+0.471; 4.39; 2.39; 6.35; 3.46; 0.84; 3.96; 1.45;C,m(N109)
291.290;+17.154;N109;051.982;+0.562;14.57;11.59;18.67;14.86; 0.61;14.83; 3.66;B,MB
291.242;+17.380;N110;052.159;+0.710; 0.55; 0.51; 0.76; 0.70; 0.38; 0.63; 0.20;C,m(N109)
291.227;+17.439;N111;052.204;+0.750; 1.00; 0.81; 1.36; 1.10; 0.59; 1.06; 0.33;B,m(N109)
291.255;+17.427;N112;052.206;+0.721; 0.28; 0.19; 0.38; 0.26; 0.74; 0.27; 0.08;C,m(N109)
291.252;+17.455;N113;052.229;+0.737; 0.57; 0.34; 0.89; 0.54; 0.80; 0.57; 0.25;C,CC,m(N109)
291.293;+17.457;N114;052.250;+0.703; 1.35; 1.32; 1.82; 1.78; 0.20; 1.57; 0.47;C,m(N109)
292.610;+18.263;N115;053.556;-0.014; 3.20; 2.52; 3.96; 3.11; 0.62; 3.17; 0.67;C
292.950;+18.696;N116;054.091;-0.088; 0.79; 0.63; 1.05; 0.83; 0.61; 0.82; 0.23;B,BP
292.938;+18.726;N117;054.112;-0.064; 1.41; 1.40; 1.92; 1.90; 0.14; 1.66; 0.50;C,BP
293.738;+19.240;N118;054.928;-0.477; 0.32; 0.26; 0.54; 0.44; 0.58; 0.39; 0.20;C
293.293;+19.735;N119;055.157;+0.130; 4.31; 3.79; 5.41; 4.76; 0.48; 4.56; 1.03;C
293.238;+19.888;N120;055.266;+0.249; 1.26; 1.19; 1.57; 1.48; 0.33; 1.37; 0.30;C
292.736;+20.352;N121;055.445;+0.886; 0.49; 0.41; 0.69; 0.58; 0.55; 0.54; 0.19;C
294.061;+20.387;N122;056.077;-0.184; 0.53; 0.37; 0.88; 0.61; 0.72; 0.58; 0.29;C
294.921;+21.612;N123;057.539;-0.284; 1.47; 1.01; 1.85; 1.27; 0.73; 1.38; 0.31;C
294.620;+22.994;N124;058.605;+0.638; 1.60; 1.50; 2.00; 1.87; 0.35; 1.74; 0.39;B
294.689;+23.140;N125;058.764;+0.655; 0.74; 0.67; 0.95; 0.85; 0.44; 0.80; 0.20;C
295.449;+23.713;N126;059.606;+0.330; 1.82; 1.45; 2.38; 1.89; 0.61; 1.87; 0.50;B,Fl
296.386;+24.423;N127;060.648;-0.057; 2.94; 2.88; 3.80; 3.72; 0.20; 3.34; 0.85;B
295.992;+25.812;N128;061.673;+0.946; 3.38; 2.41; 4.25; 3.03; 0.70; 3.22; 0.74;B
296.141;+25.830;N129;061.755;+0.839; 3.27; 2.34; 4.14; 2.96; 0.70; 3.13; 0.73;B
297.807;+25.664;N130;062.370;-0.540; 0.98; 0.87; 1.26; 1.11; 0.47; 1.05; 0.26;B
298.074;+26.352;N131;063.084;-0.395; 6.18; 5.46; 7.75; 6.84; 0.47; 6.55; 1.48;C
297.344;+26.782;N132;063.121;+0.386; 0.21; 0.19; 0.39; 0.36; 0.36; 0.28; 0.17;C
297.303;+26.848;N133;063.159;+0.451; 1.83; 1.14; 2.33; 1.45; 0.78; 1.64; 0.39;C
298.748;+27.216;N134;064.134;-0.466; 0.58; 0.32; 0.92; 0.51; 0.83; 0.56; 0.25;B,CC
260.360;-37.814;S1  ;349.811;-0.602; 4.02; 3.90; 5.14; 4.99; 0.24; 4.51; 1.10;B,CC
259.155;-37.875;S2  ;349.215;+0.142; 0.55; 0.44; 0.73; 0.59; 0.58; 0.57; 0.16;C
259.128;-38.012;S3  ;349.091;+0.080; 0.80; 0.68; 1.01; 0.86; 0.53; 0.83; 0.20;B,CC
259.086;-38.038;S4  ;349.050;+0.092; 0.25; 0.24; 0.35; 0.34; 0.25; 0.29; 0.10;C
258.551;-38.526;S5  ;348.409;+0.149; 0.57; 0.55; 0.72; 0.70; 0.23; 0.63; 0.14;C
259.620;-39.297;S6  ;348.263;-0.976; 1.27; 0.69; 1.89; 1.02; 0.84; 1.16; 0.46;C
258.092;-38.452;S7  ;348.258;+0.483; 4.14; 3.99; 4.94; 4.76; 0.27; 4.45; 0.79;B,CC
257.668;-39.272;S8  ;347.401;+0.265; 1.82; 1.25; 2.22; 1.52; 0.73; 1.67; 0.33;C
257.885;-39.651;S9  ;347.195;-0.094; 0.42; 0.29; 0.57; 0.39; 0.73; 0.41; 0.13;B
256.780;-40.619;S10 ;345.914;+0.007; 1.03; 0.81; 1.36; 1.07; 0.61; 1.06; 0.30;B,CS
256.022;-40.728;S11 ;345.480;+0.399; 2.33; 2.14; 2.74; 2.52; 0.40; 2.43; 0.39;C,CC
255.245;-40.407;S12 ;345.373;+1.063; 0.70; 0.52; 1.13; 0.85; 0.66; 0.79; 0.38;C,CS
256.874;-41.764;S13 ;345.041;-0.737; 8.96; 7.03;11.68; 9.16; 0.62; 9.14; 2.41;C
256.448;-41.882;S14 ;344.756;-0.554; 4.37; 3.86; 5.80; 5.12; 0.47; 4.78; 1.34;C
255.860;-42.609;S15 ;343.914;-0.649; 1.91; 1.36; 3.06; 2.19; 0.70; 2.10; 0.97;C
254.841;-42.523;S16 ;343.521;-0.004; 0.32; 0.25; 0.48; 0.38; 0.62; 0.35; 0.15;C,m(S17)
254.851;-42.578;S17 ;343.482;-0.044; 2.06; 1.22; 2.83; 1.68; 0.80; 1.89; 0.59;C,CC,MB
253.137;-43.375;S18 ;342.075;+0.434; 1.20; 0.98; 1.58; 1.29; 0.57; 1.26; 0.34;C,CC,TP
253.185;-43.408;S19 ;342.072;+0.387; 0.62; 0.61; 0.98; 0.98; 0.10; 0.80; 0.36;C,TP
253.151;-43.423;S20 ;342.045;+0.396; 1.35; 0.80; 1.92; 1.13; 0.81; 1.25; 0.44;B,TP
253.281;-44.388;S21 ;341.357;-0.288; 0.75; 0.51; 1.06; 0.72; 0.74; 0.74; 0.25;C,CS
253.244;-44.439;S22 ;341.301;-0.300; 1.08; 0.75; 1.36; 0.94; 0.72; 1.02; 0.23;B,CC,m(S23)
253.279;-44.486;S23 ;341.281;-0.349; 1.80; 1.68; 2.23; 2.08; 0.37; 1.94; 0.42;C,MB
253.082;-44.469;S24 ;341.205;-0.229; 0.34; 0.32; 0.49; 0.45; 0.37; 0.40; 0.14;C
253.767;-45.120;S25 ;341.007;-1.018; 2.21; 1.62; 2.67; 1.96; 0.68; 2.09; 0.39;B
252.232;-45.136;S26 ;340.306;-0.192; 1.78; 1.39; 2.21; 1.72; 0.62; 1.76; 0.38;C
251.940;-45.311;S27 ;340.040;-0.147; 2.02; 1.15; 2.58; 1.47; 0.82; 1.74; 0.42;B
251.269;-45.165;S28 ;339.844;+0.307; 0.67; 0.59; 0.88; 0.77; 0.48; 0.72; 0.20;C
250.061;-45.677;S29 ;338.901;+0.609; 2.53; 2.26; 3.04; 2.72; 0.45; 2.63; 0.48;B,CC
250.116;-45.733;S30 ;338.885;+0.543; 0.62; 0.42; 0.88; 0.59; 0.75; 0.61; 0.21;C
251.000;-46.334;S31 ;338.837;-0.315; 0.92; 0.83; 1.13; 1.03; 0.43; 0.97; 0.21;C
250.390;-46.310;S32 ;338.578;+0.018; 1.19; 0.70; 1.69; 0.99; 0.81; 1.10; 0.38;C
250.224;-46.497;S33 ;338.362;-0.019; 0.44; 0.34; 0.60; 0.45; 0.65; 0.45; 0.14;C
250.176;-46.791;S34 ;338.120;-0.189; 0.46; 0.37; 0.59; 0.47; 0.59; 0.47; 0.12;C
249.907;-46.807;S35 ;337.986;-0.062; 0.26; 0.21; 0.36; 0.28; 0.60; 0.28; 0.08;B
250.344;-47.091;S36 ;337.971;-0.474; 2.76; 2.06; 3.56; 2.66; 0.66; 2.73; 0.69;C
249.924;-47.210;S37 ;337.692;-0.339; 1.27; 0.92; 1.77; 1.29; 0.68; 1.30; 0.43;C
249.941;-47.492;S38 ;337.489;-0.535; 0.69; 0.53; 0.97; 0.75; 0.64; 0.73; 0.25;C
248.747;-47.586;S39 ;336.879;+0.000; 0.23; 0.23; 0.30; 0.30; 0.00; 0.27; 0.07;C
248.247;-47.772;S40 ;336.514;+0.121; 1.79; 1.16; 2.49; 1.62; 0.76; 1.72; 0.57;C
248.582;-48.023;S41 ;336.483;-0.214; 3.06; 2.73; 3.90; 3.47; 0.45; 3.28; 0.79;B
247.249;-49.005;S42 ;335.162;-0.242; 0.83; 0.71; 1.15; 0.98; 0.52; 0.91; 0.30;B
245.954;-48.903;S43 ;334.643;+0.440; 0.73; 0.59; 0.97; 0.79; 0.58; 0.77; 0.22;B
245.413;-48.718;S44 ;334.523;+0.823; 2.47; 1.79; 3.07; 2.22; 0.69; 2.36; 0.51;C,CC
246.469;-49.544;S45 ;334.421;-0.249; 0.44; 0.31; 0.60; 0.42; 0.71; 0.43; 0.14;C
245.497;-50.220;S46 ;333.500;-0.278; 1.12; 1.03; 1.35; 1.24; 0.40; 1.18; 0.22;C
245.417;-50.498;S47 ;333.267;-0.439; 0.59; 0.46; 0.80; 0.63; 0.62; 0.61; 0.19;B
245.135;-50.700;S48 ;332.998;-0.455; 1.18; 0.86; 1.45; 1.05; 0.69; 1.12; 0.23;B,CC
245.111;-50.875;S49 ;332.864;-0.569; 0.86; 0.70; 1.20; 0.98; 0.58; 0.93; 0.30;C,CC
244.872;-50.984;S50 ;332.680;-0.541; 2.17; 1.93; 2.73; 2.43; 0.46; 2.31; 0.53;C
244.950;-51.044;S51 ;332.673;-0.618; 1.74; 1.00; 2.15; 1.24; 0.82; 1.48; 0.32;C,CC
243.917;-50.749;S52 ;332.412;+0.048; 2.56; 2.29; 3.25; 2.90; 0.45; 2.75; 0.65;C,MB
243.838;-50.750;S53 ;332.375;+0.082; 1.04; 0.70; 1.42; 0.96; 0.74; 1.01; 0.31;C,CC,m(S52)
244.479;-51.259;S54 ;332.311;-0.565; 1.16; 1.00; 1.43; 1.24; 0.50; 1.20; 0.25;C
244.426;-51.253;S55 ;332.292;-0.537; 0.65; 0.41; 0.82; 0.52; 0.78; 0.58; 0.14;B
243.034;-50.654;S56 ;332.071;+0.501; 0.79; 0.65; 1.03; 0.85; 0.56; 0.82; 0.22;C
242.224;-51.088;S57 ;331.401;+0.530; 3.84; 3.13; 4.68; 3.82; 0.58; 3.85; 0.76;B,MB
242.994;-51.614;S58 ;331.397;-0.182; 0.24; 0.16; 0.34; 0.23; 0.75; 0.23; 0.09;C
241.610;-50.726;S59 ;331.358;+1.059; 0.41; 0.35; 0.54; 0.47; 0.50; 0.44; 0.12;C,CC,m(S61)
242.111;-51.096;S60 ;331.343;+0.572; 0.97; 0.85; 1.35; 1.19; 0.47; 1.09; 0.36;C,m(S57)
